environment | t (second),environment | Nai (mM),environment | v_cyc_nak (per_second)
77.8,77.8,65.9201
77.9,77.9,65.9584
78,78,65.9967
78.1,78.1,66.0349
78.2,78.2,66.073
78.3,78.3,66.111
78.4,78.4,66.149
78.5,78.5,66.1869
78.6,78.6,66.2248
78.7,78.7,66.2626
78.8,78.8,66.3003
78.9,78.9,66.338
79,79,66.3756
79.1,79.1,66.4131
79.2,79.2,66.4506
79.3,79.3,66.488
79.4,79.4,66.5254
79.5,79.5,66.5626
79.6,79.6,66.5999
79.7,79.7,66.637
79.8,79.8,66.6741
79.9,79.9,66.7111
80,80,66.7481
