u_e,v_1
-6.3,50.0746
-6.2,50.088
-6.1000000000000005,50.1014
-6.0,50.1148
-5.8999999999999995,50.1282
-5.8,50.1415
-5.7,50.1548
-5.6,50.1681
-5.5,50.1814
-5.4,50.1946
-5.3,50.2079
-5.2,50.2211
-5.1000000000000005,50.2343
-5.0,50.2474
-4.8999999999999995,50.2606
-4.8,50.2737
-4.7,50.2868
-4.6,50.2999
-4.5,50.3129
-4.4,50.326
-4.3,50.339
-4.2,50.352
-4.1000000000000005,50.3649
-4.0,50.3779
-3.9,50.3908
-3.8,50.4037
-3.7,50.4166
-3.6,50.4294
-3.5,50.4423
-3.4,50.4551
-3.3,50.4679
-3.2,50.4807
-3.1,50.4934
-3.0,50.5062
-2.9,50.5189
-2.8,50.5316
-2.7,50.5442
-2.6,50.5569
-2.5,50.5695
-2.4,50.5821
-2.3,50.5947
-2.2,50.6073
-2.1,50.6198
-2.0,50.6323
-1.9,50.6448
-1.8,50.6573
-1.7,50.6698
-1.6,50.6822
-1.5,50.6947
-1.4,50.7071
-1.3,50.7194
-1.2,50.7318
-1.1,50.7441
-1.0,50.7565
-0.9,50.7688
-0.8,50.7811
-0.7,50.7933
-0.6,50.8056
-0.5,50.8178
-0.4,50.83
-0.3,50.8422
-0.2,50.8543
-0.1,50.8665
-6.22535e-14,50.8786
0.1,50.8907
0.2,50.9028
0.3,50.9149
0.4,50.9269
0.5,50.939
0.6,50.951
0.7,50.963
0.8,50.975
0.9,50.9869
1.0,50.9989
1.1,51.0108
1.2,51.0227
1.3,51.0346
1.4,51.0464
1.5,51.0583
1.6,51.0701
1.7,51.0819
1.8,51.0937
1.9,51.1055
2.0,51.1172
2.1,51.129
2.2,51.1407
2.3,51.1524
2.4,51.1641
2.5,51.1757
2.6,51.1874
2.7,51.199
2.8,51.2106
2.9,51.2222
3.0,51.2338
3.1,51.2454
3.2,51.2569
3.3,51.2684
3.4,51.2799
3.5,51.2914
3.6,51.3029
3.7,51.3144
3.8,51.3258
3.9,51.3372
4.0,51.3486
4.1000000000000005,51.36
4.2,51.3714
4.3,51.3827
4.4,51.3941
4.5,51.4054
4.6,51.4167
4.7,51.428
4.8,51.4393
4.8999999999999995,51.4505
5.0,51.4617
5.1000000000000005,51.473
5.2,51.4842
5.3,51.4954
5.4,51.5065
5.5,51.5177
5.6,51.5288
5.7,51.5399
5.8,51.551
5.8999999999999995,51.5621
6.0,51.5732
6.1000000000000005,51.5842
6.2,51.5953
6.3,51.6063
6.4,51.6173
6.5,51.6283
6.6,51.6393
6.7,51.6502
6.8,51.6612
6.8999999999999995,51.6721
7.0,51.683
7.1000000000000005,51.6939
7.2,51.7048
7.3,51.7156
7.4,51.7265
7.5,51.7373
7.6,51.7481
7.7,51.7589
7.8,51.7697
7.9,51.7805
8.0,51.7912
8.1,51.8019
8.200000000000001,51.8127
8.3,51.8234
8.4,51.8341
8.5,51.8447
8.6,51.8554
8.7,51.866
8.8,51.8767
8.9,51.8873
9.0,51.8979
9.1,51.9085
9.2,51.919
9.299999999999999,51.9296
9.4,51.9401
9.5,51.9506
9.6,51.9611
9.700000000000001,51.9716
9.799999999999999,51.9821
9.9,51.9926
10.0,52.003
10.1,52.0135
10.200000000000001,52.0239
10.3,52.0343
10.4,52.0447
10.5,52.0551
10.6,52.0654
10.7,52.0758
10.8,52.0861
10.9,52.0965
11.0,52.1068
11.1,52.1171
11.2,52.1274
